"SUID","KEGG_ID","KEGG_LINK","KEGG_NODE_FILL_COLOR","KEGG_NODE_HEIGHT","KEGG_NODE_LABEL","KEGG_NODE_LABEL_COLOR","KEGG_NODE_LABEL_LIST","KEGG_NODE_LABEL_LIST_FIRST","KEGG_NODE_REACTIONID","KEGG_NODE_SHAPE","KEGG_NODE_TYPE","KEGG_NODE_WIDTH","KEGG_NODE_X","KEGG_NODE_Y","name","selected","shared name"
"293","ko:K12407|ko:K00845","https://www.kegg.jp/dbget-bin/www_bget?K12407+K00845","#FFFFFF","17","K12407...","#000000","K12407...","K12407...","rn:R01786","rectangle","ortholog","46","233","239","path:sce00010:74","false","path:sce00010:74"
"294","sce:YCL040W|sce:YDR516C|sce:YFR053C|sce:YGL253W|sce:YLR446W","https://www.kegg.jp/dbget-bin/www_bget?sce:YCL040W+sce:YDR516C+sce:YFR053C+sce:YGL253W+sce:YLR446W","#BFFFBF","17","GLK1, HOR3...","#000000","GLK1|HOR3...","GLK1","rn:R01786","rectangle","gene","46","233","218","path:sce00010:75","false","path:sce00010:75"
"295","ko:K01084","https://www.kegg.jp/dbget-bin/www_bget?K01084","#FFFFFF","17","K01084","#000000","K01084","K01084","rn:R01788","rectangle","ortholog","46","330","193","path:sce00010:76","false","path:sce00010:76"
"296","ko:K01085|ko:K20866","https://www.kegg.jp/dbget-bin/www_bget?K01085+K20866","#FFFFFF","17","K01085...","#000000","K01085...","K01085...","rn:R00947","rectangle","ortholog","46","330","144","path:sce00010:77","false","path:sce00010:77"
"297","path:sce00010","https://www.kegg.jp/dbget-bin/www_bget?sce00010","#f5f5f5","25","TITLE:Glycolysis / Gluconeogenesis","#000000","TITLE:Glycolysis / Gluconeogenesis","TITLE:Glycolysis / Gluconeogenesis",,"roundrectangle","map","243","162","58","path:sce00010:78","false","path:sce00010:78"
"298","sce:YFL018C","https://www.kegg.jp/dbget-bin/www_bget?sce:YFL018C","#BFFFBF","17","LPD1, HPD1","#000000","LPD1|HPD1","LPD1","rn:R07618","rectangle","gene","46","262","913","path:sce00010:79","false","path:sce00010:79"
"299","sce:YCR012W","https://www.kegg.jp/dbget-bin/www_bget?sce:YCR012W","#BFFFBF","17","PGK1","#000000","PGK1","PGK1","rn:R01512","rectangle","gene","46","483","557","path:sce00010:80","false","path:sce00010:80"
"300","ko:K00886","https://www.kegg.jp/dbget-bin/www_bget?K00886","#FFFFFF","17","K00886","#000000","K00886","K00886","rn:R02189","rectangle","ortholog","46","281","218","path:sce00010:81","false","path:sce00010:81"
"301","ko:K00886","https://www.kegg.jp/dbget-bin/www_bget?K00886","#FFFFFF","17","K00886","#000000","K00886","K00886","rn:R02187","rectangle","ortholog","46","281","291","path:sce00010:82","false","path:sce00010:82"
"302","ko:K02777|ko:K02752|ko:K02753","https://www.kegg.jp/dbget-bin/www_bget?K02777+K02752+K02753","#FFFFFF","17","K02777...","#000000","K02777...","K02777...","rn:R05132","rectangle","ortholog","46","181","360","path:sce00010:83","false","path:sce00010:83"
